Time,State,Emotion,Yaw,Pitch,Roll
67.78s,Attentive,happy,-4,-1,8
67.88s,Attentive,sad,-4,0,7
67.99s,Attentive,sad,0,0,8
68.31s,Attentive,sad,-1,0,7
68.45s,Attentive,happy,-8,-2,5
68.55s,Attentive,happy,-4,-3,6
68.66s,Attentive,happy,-4,0,7
68.77s,Attentive,happy,-2,0,7
68.88s,Attentive,happy,-6,-1,6
68.99s,Attentive,happy,-9,-2,6
69.09s,Attentive,happy,-5,-2,6
69.20s,Attentive,happy,-4,-1,7
69.30s,Attentive,happy,-5,-1,7
69.41s,Attentive,happy,-3,0,7
69.52s,Attentive,happy,-5,-1,7
69.62s,Attentive,happy,-4,0,7
69.73s,Attentive,happy,-2,0,7
69.86s,Attentive,happy,-2,-1,7
70.00s,Attentive,happy,-3,0,7
70.11s,Attentive,happy,-2,-1,7
70.21s,Attentive,happy,-2,1,6
70.32s,Attentive,happy,-3,0,7
70.43s,Attentive,happy,-3,0,6
70.53s,Attentive,happy,-5,0,6
70.64s,Not Attentive,happy,-3,0,6
70.75s,Attentive,happy,-4,0,6
70.85s,Attentive,happy,-2,0,6
70.96s,Attentive,happy,-4,0,6
71.06s,Attentive,happy,-2,0,6
71.17s,Attentive,happy,-2,0,7
71.27s,Attentive,happy,-4,-1,7
71.38s,Attentive,happy,-1,0,7
71.49s,Attentive,happy,-4,0,6
71.59s,Attentive,happy,-2,0,6
71.70s,Attentive,happy,-1,0,7
71.81s,Attentive,happy,-3,-1,6
71.91s,Attentive,happy,-4,-1,6
72.01s,Attentive,neutral,-1,1,6
72.12s,Attentive,neutral,-3,0,6
72.22s,Attentive,sad,0,0,6
72.33s,Attentive,happy,-1,0,7
72.44s,Attentive,sad,-3,0,6
72.54s,Attentive,happy,-1,0,7
72.65s,Attentive,neutral,-2,0,8
72.76s,Attentive,neutral,-1,0,7
72.87s,Attentive,happy,-1,0,7
72.97s,Attentive,happy,-1,-1,6
73.08s,Attentive,happy,0,-1,6
73.18s,Attentive,happy,-3,0,6
73.29s,Attentive,happy,-2,-1,7
73.39s,Attentive,happy,-5,0,6
73.50s,Attentive,happy,0,0,7
73.61s,Attentive,happy,-3,-2,6
73.71s,Attentive,happy,-4,-2,7
73.82s,Attentive,happy,-1,-1,6
73.93s,Attentive,happy,-1,0,6
74.03s,Attentive,sad,0,-1,8
74.14s,Attentive,sad,-1,0,7
74.24s,Attentive,happy,-5,-1,6
74.34s,Attentive,happy,0,-1,7
74.45s,Attentive,happy,-1,-1,6
74.55s,Attentive,happy,1,0,6
74.66s,Attentive,happy,0,0,7
74.77s,Attentive,happy,-1,-2,7
74.87s,Attentive,happy,-2,-1,6
74.98s,Attentive,happy,-2,-1,6
75.08s,Attentive,happy,0,-1,7
75.19s,Attentive,happy,-2,-2,7
75.30s,Not Attentive,happy,-3,0,7
75.40s,Attentive,happy,-3,-1,7
75.50s,Attentive,happy,-6,-1,6
75.61s,Attentive,sad,-5,-2,7
75.74s,Not Attentive,happy,-3,0,7
75.85s,Attentive,sad,-9,0,7
75.95s,Attentive,happy,-4,0,9
76.06s,Attentive,happy,-5,0,9
76.17s,Attentive,happy,0,2,8
76.28s,Not Attentive,happy,0,1,8
76.39s,Attentive,happy,-3,0,8
76.50s,Attentive,happy,-2,0,8
76.60s,Not Attentive,happy,-2,-1,9
76.71s,Attentive,happy,-2,-1,9
76.81s,Attentive,happy,-4,-4,10
76.94s,Attentive,happy,-5,-4,10
77.13s,Not Attentive,happy,-7,-3,9
77.21s,Not Attentive,happy,-7,-3,9
77.29s,Not Attentive,happy,-7,-3,9
77.39s,Not Attentive,happy,-7,-3,9
77.47s,Not Attentive,happy,-7,-3,9
77.52s,Not Attentive,happy,-7,-3,9
77.60s,Not Attentive,happy,-7,-3,9
77.65s,Not Attentive,happy,-7,-3,9
77.70s,Not Attentive,happy,-7,-3,9
77.75s,Not Attentive,happy,-7,-3,9
77.80s,Not Attentive,happy,-7,-3,9
77.85s,Not Attentive,happy,-7,-3,9
77.90s,Not Attentive,happy,-7,-3,9
77.95s,Not Attentive,happy,-7,-3,9
78.00s,Not Attentive,happy,-7,-3,9
78.07s,Not Attentive,happy,-7,-3,9
78.13s,Not Attentive,happy,-7,-3,9
78.17s,Not Attentive,happy,-7,-3,9
78.23s,Not Attentive,happy,-7,-3,9
78.28s,Not Attentive,happy,-7,-3,9
78.33s,Not Attentive,happy,-7,-3,9
78.38s,Not Attentive,happy,-7,-3,9
78.43s,Not Attentive,happy,-7,-3,9
78.47s,Not Attentive,happy,-7,-3,9
78.53s,Not Attentive,happy,-7,-3,9
78.62s,Not Attentive,happy,-7,-3,9
78.68s,Not Attentive,happy,-7,-3,9
78.74s,Not Attentive,happy,-7,-3,9
78.81s,Not Attentive,happy,-7,-3,9
78.87s,Not Attentive,happy,-7,-3,9
78.93s,Not Attentive,happy,-7,-3,9
78.98s,Not Attentive,happy,-7,-3,9
79.03s,Not Attentive,happy,-7,-3,9
79.09s,Not Attentive,happy,-7,-3,9
79.16s,Not Attentive,happy,-7,-3,9
79.26s,Not Attentive,happy,-7,-3,9
79.35s,Not Attentive,happy,-7,-3,9
79.42s,Not Attentive,happy,-7,-3,9
79.48s,Not Attentive,happy,-7,-3,9
79.59s,Not Attentive,happy,-9,-4,8
79.70s,Attentive,happy,-7,-5,9
79.83s,Not Attentive,happy,-4,-4,10
79.93s,Not Attentive,happy,-6,-3,9
80.05s,Not Attentive,happy,-5,-3,11
80.16s,Not Attentive,happy,-7,-3,10
80.26s,Not Attentive,happy,-5,-4,10
80.37s,Not Attentive,happy,-9,-5,10
80.47s,Not Attentive,happy,-8,-5,10
80.58s,Not Attentive,happy,-8,-5,9
80.68s,Not Attentive,happy,-7,-4,9
80.79s,Not Attentive,happy,-6,-4,9
80.89s,Not Attentive,happy,-7,-4,9
81.00s,Not Attentive,happy,-7,-5,11
81.10s,Not Attentive,happy,-8,-5,10
81.21s,Not Attentive,happy,-7,-4,10
81.31s,Not Attentive,happy,-5,-4,9
81.42s,Not Attentive,happy,-5,-3,9
81.52s,Not Attentive,happy,-7,-4,8
81.63s,Not Attentive,happy,-6,-3,9
81.73s,Not Attentive,happy,-7,-3,9
81.84s,Not Attentive,happy,-8,-5,9
81.95s,Not Attentive,happy,-9,-4,9
82.06s,Not Attentive,happy,-9,-4,9
82.18s,Not Attentive,happy,-8,-4,9
82.29s,Not Attentive,happy,-9,-6,9
82.39s,Not Attentive,happy,-9,-4,9
82.50s,Not Attentive,happy,-7,-4,9
82.60s,Not Attentive,happy,-9,-4,8
82.70s,Not Attentive,happy,-8,-3,8
82.81s,Attentive,happy,-10,-3,7
82.92s,Attentive,happy,-9,-3,8
83.04s,Attentive,happy,-6,-1,9
83.14s,Attentive,neutral,-10,0,12
83.24s,Attentive,neutral,-6,0,13
83.35s,Attentive,sad,-6,4,14
83.46s,Not Attentive,neutral,-4,6,14
83.56s,Attentive,neutral,-10,6,13
83.67s,Attentive,sad,-9,4,13
83.78s,Attentive,neutral,-8,6,15
83.88s,Attentive,sad,-7,6,17
84.01s,Attentive,neutral,-3,3,18
84.18s,Attentive,sad,-3,3,18
84.28s,Not Attentive,sad,3,3,17
84.39s,Attentive,neutral,4,3,17
84.68s,Not Attentive,sad,1,3,16
84.85s,Attentive,sad,6,2,17
85.01s,Not Attentive,sad,5,2,17
85.17s,Not Attentive,sad,5,2,16
85.29s,Attentive,sad,2,2,17
85.39s,Not Attentive,sad,2,2,17
85.50s,Not Attentive,sad,2,2,17
85.60s,Not Attentive,sad,5,3,16
85.70s,Not Attentive,sad,4,3,16
85.81s,Attentive,sad,5,2,17
85.91s,Not Attentive,sad,5,3,16
86.02s,Attentive,sad,6,4,16
86.12s,Attentive,sad,5,2,16
86.22s,Attentive,sad,9,2,17
86.33s,Not Attentive,sad,8,1,17
86.45s,Not Attentive,sad,8,2,16
86.56s,Attentive,sad,10,1,17
86.68s,Attentive,sad,8,2,17
86.80s,Not Attentive,sad,12,3,17
86.91s,Attentive,sad,-5,-2,15
87.01s,Attentive,sad,7,2,17
87.12s,Attentive,sad,-6,-1,15
87.22s,Attentive,sad,8,3,17
87.32s,Not Attentive,sad,7,3,18
87.43s,Not Attentive,sad,-4,-2,16
87.54s,Not Attentive,sad,9,2,18
87.64s,Attentive,sad,0,0,16
87.74s,Attentive,happy,-4,-1,15
87.85s,Attentive,happy,-2,-1,15
87.90s,Attentive,happy,-2,-1,15
88.00s,Not Attentive,happy,-6,-1,15
88.10s,Attentive,happy,-5,-2,12
88.21s,Attentive,happy,-8,-2,11
88.26s,Attentive,happy,-8,-2,11
88.31s,Attentive,happy,-8,-2,11
88.36s,Attentive,happy,-8,-2,11
88.41s,Attentive,happy,-8,-2,11
88.46s,Attentive,happy,-8,-2,11
88.50s,Attentive,happy,-8,-2,11
88.55s,Attentive,happy,-8,-2,11
88.60s,Attentive,happy,-8,-2,11
88.65s,Attentive,happy,-8,-2,11
88.71s,Attentive,happy,-8,-2,11
88.76s,Attentive,happy,-8,-2,11
88.81s,Attentive,happy,-8,-2,11
88.86s,Attentive,happy,-8,-2,11
88.90s,Attentive,happy,-8,-2,11
88.95s,Attentive,happy,-8,-2,11
89.00s,Attentive,happy,-8,-2,11
89.06s,Attentive,happy,-8,-2,11
89.11s,Attentive,happy,-8,-2,11
89.16s,Attentive,happy,-8,-2,11
89.21s,Attentive,happy,-8,-2,11
89.26s,Attentive,happy,-8,-2,11
89.30s,Attentive,happy,-8,-2,11
89.37s,Attentive,happy,-8,-2,11
89.41s,Attentive,happy,-8,-2,11
89.60s,Not Attentive,happy,-20,-6,14
89.71s,Not Attentive,happy,-20,-6,14
89.76s,Not Attentive,happy,-20,-6,14
89.81s,Not Attentive,happy,-20,-6,14
89.86s,Not Attentive,happy,-20,-6,14
89.90s,Not Attentive,happy,-20,-6,14
89.96s,Not Attentive,happy,-20,-6,14
90.01s,Not Attentive,happy,-20,-6,14
90.06s,Not Attentive,happy,-20,-6,14
90.11s,Not Attentive,happy,-20,-6,14
90.16s,Not Attentive,happy,-20,-6,14
90.21s,Not Attentive,happy,-20,-6,14
90.26s,Not Attentive,happy,-20,-6,14
90.34s,Not Attentive,happy,-20,-6,14
90.40s,Not Attentive,happy,-20,-6,14
90.47s,Not Attentive,happy,-20,-6,14
90.53s,Not Attentive,happy,-20,-6,14
90.61s,Not Attentive,happy,-20,-6,14
