Time,State,Emotion,Yaw,Pitch,Roll
26.89s,Attentive,neutral,-10,18,-8
26.97s,Attentive,neutral,-10,18,-8
27.04s,Attentive,neutral,-14,16,-8
27.10s,Attentive,neutral,-20,15,-11
27.17s,Attentive,neutral,-18,13,-8
27.25s,Attentive,neutral,-18,13,-8
27.32s,Attentive,neutral,-16,17,-10
27.39s,Attentive,neutral,-19,16,-12
27.49s,Attentive,neutral,-19,17,-10
27.56s,Attentive,neutral,-19,17,-10
27.63s,Attentive,neutral,-17,17,-10
27.69s,Attentive,neutral,-19,15,-11
27.79s,Attentive,neutral,-18,15,-11
27.86s,Attentive,neutral,-18,15,-11
27.93s,Attentive,neutral,-15,16,-11
28.00s,Attentive,neutral,-14,16,-11
28.09s,Attentive,neutral,-14,15,-10
28.16s,Attentive,neutral,-14,15,-10
28.23s,Attentive,neutral,-17,13,-10
28.29s,Attentive,neutral,-13,15,-10
28.40s,Attentive,neutral,-16,15,-11
28.46s,Attentive,neutral,-16,15,-11
28.53s,Attentive,neutral,-14,16,-11
28.60s,Attentive,neutral,-12,15,-10
28.68s,Attentive,neutral,-14,16,-11
28.75s,Attentive,neutral,-14,16,-11
28.82s,Attentive,neutral,-12,15,-9
28.89s,Attentive,neutral,-12,15,-10
28.96s,Attentive,neutral,-12,15,-10
29.03s,Attentive,neutral,-17,15,-11
29.09s,Attentive,neutral,-15,14,-10
29.19s,Attentive,neutral,-14,13,-10
29.26s,Attentive,neutral,-14,13,-10
29.32s,Attentive,neutral,-18,13,-11
29.39s,Attentive,neutral,-20,14,-11
29.49s,Attentive,neutral,-18,14,-11
29.56s,Attentive,neutral,-18,14,-11
29.63s,Not Attentive,neutral,-15,16,-11
29.69s,Attentive,neutral,-13,16,-10
29.78s,Attentive,neutral,-9,16,-9
29.85s,Attentive,neutral,-9,16,-9
29.92s,Attentive,neutral,-13,16,-11
30.08s,Attentive,neutral,-16,14,-11
30.15s,Attentive,neutral,-15,15,-12
30.21s,Attentive,neutral,-11,14,-11
30.28s,Attentive,neutral,-13,15,-11
30.40s,Attentive,neutral,-16,14,-9
30.47s,Attentive,neutral,-16,14,-9
30.54s,Attentive,neutral,-14,15,-8
30.61s,Attentive,neutral,-11,14,-7
30.70s,Attentive,neutral,-12,11,-6
30.77s,Attentive,neutral,-12,11,-6
30.83s,Attentive,neutral,-7,13,-5
30.90s,Attentive,neutral,-14,13,-6
30.99s,Attentive,neutral,-9,14,-6
31.06s,Attentive,neutral,-9,14,-6
31.13s,Attentive,neutral,-10,14,-5
31.19s,Attentive,neutral,-13,15,-8
31.30s,Attentive,neutral,-10,14,-6
31.37s,Attentive,neutral,-10,14,-6
31.43s,Attentive,neutral,-14,13,-8
31.50s,Not Attentive,neutral,-12,12,-9
31.60s,Attentive,sad,-14,8,-9
31.66s,Attentive,sad,-14,8,-9
31.73s,Attentive,sad,-8,2,-4
31.80s,Attentive,sad,-7,-5,0
31.87s,Attentive,sad,-7,-5,0
31.89s,Attentive,sad,-7,-5,0
31.96s,Attentive,sad,-7,-5,0
32.00s,Attentive,sad,-7,-5,0
32.05s,Attentive,sad,-7,-5,0
32.08s,Attentive,sad,-7,-5,0
32.15s,Attentive,sad,-7,-5,0
